time_index,time,sza,saa,valid,shift_x_px,shift_y_px,shift_x_m,shift_y_m,displacement_m,direction_deg,rmse_before,rmse_after,rmse_improvement,rmse_improvement_rel,h_eff_m
16,2026-06-06 12:00:00,31.537,26.114,True,2,4,500.68865773926564,1001.8799999999982,1120.023511533907,26.553550960840447,371.36826,137.56479,233.80347,0.6295731,1825.065715669459
17,2026-06-06 12:15:00,32.656,32.276,True,3,4,751.0329866088985,1001.8799999999982,1252.123828291227,36.85609627837491,373.5149,138.44954,235.06535,0.62933326,1953.6818564006298
18,2026-06-06 12:30:00,33.979,38.096,True,3,4,751.0329866088985,1001.8799999999982,1252.123828291227,36.85609627837491,385.51935,149.6627,235.85664,0.6117894,1857.8183572856517
19,2026-06-06 12:45:00,35.48,43.568,True,4,4,1001.3773154785313,1001.8799999999982,1416.5168768338012,44.98562256546899,400.74722,155.36592,245.3813,0.6123094,1987.3504315010503
20,2026-06-06 13:00:00,37.135,48.698,True,5,4,1251.721644348164,1001.8799999999982,1603.2999124710475,51.32616420782104,402.15192,167.2315,234.92041,0.58415836,2117.2529655704357
21,2026-06-06 13:15:00,38.922,53.507,True,6,4,1502.065973217797,1001.8799999999982,1805.5375161703853,56.29665971495777,382.08145,169.41199,212.66946,0.55660766,2235.869930056412
22,2026-06-06 13:30:00,40.82,58.018,True,7,4,1752.4103020874297,1001.8799999999982,2018.5899537207038,60.24273041193239,364.34247,161.43,202.91248,0.55692786,2336.909310305535
23,2026-06-06 13:45:00,42.81,62.261,True,8,4,2002.7546309570625,1001.8799999999982,2239.372601024661,63.42344514321465,342.3443,155.35548,186.98882,0.54620105,2417.4559445097593
24,2026-06-06 14:00:00,44.878,66.263,True,10,4,2503.443288696328,1001.8799999999982,2696.477671726336,68.18867323937567,325.52438,151.15466,174.36972,0.53565794,2707.9854215021837
25,2026-06-06 14:15:00,47.009,70.054,True,11,4,2753.787617565961,1001.8799999999982,2930.3770707981607,70.00765656110113,297.4215,143.4719,153.94962,0.51761425,2731.760378154298
26,2026-06-06 14:30:00,49.19,73.66,True,12,3,3004.131946435594,751.4099999999986,3096.6797928902674,75.9569891820466,277.87576,148.45638,129.41939,0.4657455,2673.925601222916
27,2026-06-06 14:45:00,51.41,77.106,True,13,3,3254.4762753052264,751.4099999999986,3340.094731384812,76.99908156246804,237.2359,121.7771,115.4588,0.48668352,2665.408271858396
28,2026-06-06 15:00:00,53.661,80.413,True,16,3,4005.509261914125,751.4099999999986,4075.379913011772,79.37513507615732,216.20392,116.49398,99.70994,0.46118468,2997.9371800903677
29,2026-06-06 15:15:00,55.934,83.603,True,17,2,4255.853590783758,500.9399999999991,4285.2340274233575,83.28682563505367,187.1283,108.11399,79.014305,0.4222467,2897.614469370096
30,2026-06-06 15:30:00,58.22,86.693,True,18,1,4506.19791965339,250.46999999999954,4513.153544029778,86.81857690546838,167.55217,99.35365,68.19852,0.40702856,2796.0932070890676
31,2026-06-06 15:45:00,60.513,89.7,True,20,0,5006.886577392656,0.0,5006.886577392656,90.0,143.2706,91.661156,51.609444,0.36022356,2831.260654125273
32,2026-06-06 16:00:00,62.806,92.639,True,20,-1,5006.886577392656,-250.46999999999954,5013.147556154192,92.86383974237246,112.1496,74.31531,37.83429,0.33735555,2575.7442849565828
33,2026-06-06 16:15:00,65.093,95.523,True,23,-3,5757.919564001555,-751.4099999999986,5806.742175575892,97.4350967580447,87.37213,66.41814,20.953995,0.2398247,2696.262311308619
34,2026-06-06 16:30:00,67.369,98.365,True,30,-4,7510.329866088985,-1001.8799999999982,7576.860710866222,97.59841129454793,66.47667,50.288544,16.188126,0.2435159,3158.7535929153173
35,2026-06-06 16:45:00,69.628,101.176,True,34,-7,8511.707181567515,-1753.2899999999968,8690.40764112064,101.63931469351391,51.236908,36.19127,15.045639,0.29364845,3227.100193363233
36,2026-06-06 17:00:00,71.864,103.966,True,39,-10,9763.42882591568,-2504.6999999999953,10079.58652568255,104.38831431134072,43.208145,28.597216,14.6109295,0.3381522,3301.527916623581
37,2026-06-06 17:15:00,74.071,106.745,True,44,-13,11015.150470263845,-3256.109999999994,11486.330668000715,106.4678301330173,35.832462,23.53815,12.294312,0.3431054,3278.2537732788337
38,2026-06-06 17:30:00,76.245,109.52,True,51,-18,12767.560772351273,-4508.459999999992,13540.19274778919,109.44906119658053,27.586712,16.674864,10.911848,0.39554724,3314.5164692093813
39,2026-06-06 17:45:00,78.378,112.301,True,60,-25,15020.65973217797,-6261.749999999988,16273.59001119214,112.63007558154558,18.978615,12.1517935,6.8268213,0.35971126,3347.000703495157
40,2026-06-06 18:00:00,80.465,115.094,True,73,-34,18275.136007483197,-8515.979999999985,20161.9074358655,114.98491801639716,10.838155,6.841898,3.9962568,0.36872116,3386.6085962805896
