frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,lon,lat,ncells,case,domain,size_km2
34,46,103.50230553382225,44.41675675617181,8,0.7,1046,2024-09-28 14:50:00,2024-09-28 14:50:00,13.872083783780859,52.36751152766911,187.0,case2,DOM01,35.26975580344398
34,47,117.49141661094349,14.741352741547864,64,0.7,1047,2024-09-28 14:50:00,2024-09-28 14:50:00,13.723706763707739,52.43745708305472,174.0,case2,DOM01,32.8178476459853
34,48,122.9256617137055,53.40876723468099,224,0.7,1048,2024-09-28 14:50:00,2024-09-28 14:50:00,13.917043836173406,52.46462830856853,645.0,case2,DOM01,121.65236627391104
34,49,119.3851088262873,147.88680024844638,12,0.7,1049,2024-09-28 14:50:00,2024-09-28 14:50:00,14.389434001242233,52.44692554413144,137.0,case2,DOM01,25.839339813218313
34,53,132.45525090299657,47.9699695327407,12,0.7,1051,2024-09-28 14:50:00,2024-09-28 14:50:00,13.889849847663704,52.51227625451498,44.0,case2,DOM01,8.298766071398582
35,3,5.911096402760821,12.635328663995727,225,0.3,1054,2024-09-28 14:55:00,2024-09-28 14:55:00,13.71317664331998,51.87955548201381,30.0,case2,DOM01,5.658249594135397
35,4,0.0,94.46828358417437,6,0.3,1055,2024-09-28 14:55:00,2024-09-28 14:55:00,14.122341417920872,51.85,0.0,case2,DOM01,0.0
35,16,54.002545668712614,112.327288303066,11,0.5,1058,2024-09-28 14:55:00,2024-09-28 14:55:00,14.211636441515331,52.12001272834356,82.0,case2,DOM01,15.465882223970086
35,21,102.88234494805201,119.67859595860735,263,0.5,1062,2024-09-28 14:55:00,2024-09-28 14:55:00,14.248392979793037,52.364411724740265,362.0,case2,DOM01,68.2762117692338
35,25,126.58234726997996,98.83460037487721,33,0.5,1064,2024-09-28 14:55:00,2024-09-28 14:55:00,14.144173001874385,52.4829117363499,62.0,case2,DOM01,11.693715827879823
35,27,11.945584502611636,125.35695813957973,322,0.7,1065,2024-09-28 14:55:00,2024-09-28 14:55:00,14.2767847906979,51.909727922513056,809.0,case2,DOM01,152.58413072185124
