frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,lon,lat,ncells,case,domain,size_km2
20,24,127.80127005455942,14.976865113198107,43,0.3,469,2024-08-06 13:40:00,2024-08-06 13:40:00,13.72488432556599,52.489006350272795,96,case1,DOM01,18.10639870123327
20,25,132.63797711365103,90.57857213480723,51,0.3,470,2024-08-06 13:40:00,2024-08-06 13:40:00,14.102892860674036,52.51318988556825,99,case1,DOM01,18.67222366064681
20,26,135.8566307093489,133.41064996271984,249,0.3,471,2024-08-06 13:40:00,2024-08-06 13:40:00,14.317053249813599,52.52928315354674,287,case1,DOM01,54.1305877838953
20,27,136.1690975722217,159.47878526129432,94,0.3,472,2024-08-06 13:40:00,2024-08-06 13:40:00,14.447393926306471,52.53084548786111,117,case1,DOM01,22.06717341712805
20,28,134.42048819926015,32.09109626378869,6,0.3,473,2024-08-06 13:40:00,2024-08-06 13:40:00,13.810455481318943,52.5221024409963,26,case1,DOM01,4.903816314917345
20,30,69.74636638683215,178.54886449271268,23,0.5,474,2024-08-06 13:40:00,2024-08-06 13:40:00,14.542744322463564,52.19873183193416,67,case1,DOM01,12.636757426902387
20,33,76.37772795974006,167.81221784829356,9,0.5,475,2024-08-06 13:40:00,2024-08-06 13:40:00,14.489061089241467,52.2318886397987,534,case1,DOM01,100.71684277561008
20,35,96.1999669494427,174.90332742443272,63,0.5,476,2024-08-06 13:40:00,2024-08-06 13:40:00,14.524516637122163,52.33099983474721,291,case1,DOM01,54.885021063113356
20,39,124.32609428691559,152.68037078227786,38,0.5,477,2024-08-06 13:40:00,2024-08-06 13:40:00,14.41340185391139,52.47163047143458,127,case1,DOM01,23.953256615173185
20,40,127.77322259298265,160.71627674740867,21,0.5,478,2024-08-06 13:40:00,2024-08-06 13:40:00,14.453581383737044,52.488866112964914,124,case1,DOM01,23.387431655759645
21,3,49.39901468895731,122.07925564135456,90,0.3,479,2024-08-06 13:45:00,2024-08-06 13:45:00,14.260396278206773,52.09699507344479,149,case1,DOM01,28.102639650872472
21,4,49.676706794244744,158.81291939608158,35,0.3,480,2024-08-06 13:45:00,2024-08-06 13:45:00,14.444064596980407,52.09838353397122,114,case1,DOM01,21.50134845771451
21,8,59.90129312341731,17.469096665315607,17,0.3,481,2024-08-06 13:45:00,2024-08-06 13:45:00,13.737345483326578,52.14950646561709,53,case1,DOM01,9.996240949639201
21,9,60.45311551489331,137.16380319119304,51,0.3,482,2024-08-06 13:45:00,2024-08-06 13:45:00,14.335819015955966,52.15226557757447,82,case1,DOM01,15.465882223970086
21,10,64.75943827521026,4.284813203135642,7,0.3,483,2024-08-06 13:45:00,2024-08-06 13:45:00,13.671424066015678,52.173797191376046,25,case1,DOM01,4.715207995112831
21,15,104.89032858833447,34.25266376766435,32,0.3,484,2024-08-06 13:45:00,2024-08-06 13:45:00,13.821263318838321,52.37445164294167,66,case1,DOM01,12.448149107097873
